"id","title","cost","value","total","date","location","datadate","status"
"ftd-abbotsford-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","82","2011-02-12","V2S","2011-02-10","0"
"mackie-naturals-abbotsford","$49 for a Seasonal Eminence Organic Facial at Mackie Naturals Salon & Spa ($98 Value)","49","98","106","2011-02-10","V2S","2011-02-10","0"
"sundance-balloons-abbotsford","$139 for a Hot Air Balloon Ride ($295 Value) or $249 for Two Hot Air Balloon Rides ($590 Value) from Sundance Balloons","139","295","24","2011-02-10","V2S","2011-02-10","0"
"ftd-abilene-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","32","2011-02-12","79602","2011-02-10","0"
"frontier-texas","$40 for a One-Year Family Membership (Up to $80 Value) or $20 for a One-Year Individual Membership (Up to $40 Value) at Frontier Texas!","40","80","12","2011-02-11","79602","2011-02-10","0"
"dublin-dr-pepper-bottling-co","$6 for Two Tickets to a Dublin Dr Pepper Bottling Co. Tour, Plus Two Frosty Peppers ($13.50 Value)","6","13","40","2011-02-11","79602","2011-02-10","0"
"ftd-akron-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","456","2011-02-12","44308-1105","2011-02-10","0"
"acres-of-fun","$11 for Two Games of Laser Tag, Two Mini Bowling Games, a Slice of Pizza, a Soda, and 24 Tokens at Acres of Fun in Wooster","11","24","445","2011-02-10","44308-1105","2011-02-10","0"
"armstrong-health-akron","$40 for Six One-Hour Personal-Training Sessions ($210 Value) or $45 for Six Weeks of Unlimited Boot Camp ($99 Value) at Armstrong Health and Fitness in Copley","40","210","53","2011-02-10","44308-1105","2011-02-10","0"
"ftd-albany-ny-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","351","2011-02-12","12210","2011-02-10","0"
"the-wells-house","$60 for a One-Night Stay and Breakfast for Two (Up to $140 Value)","60","140","87","2011-02-11","12210","2011-02-10","0"
"siena-college","Basketball Tickets to the Siena Saints vs. the St. Peter's Peacocks. Two Options Available.","20","54","53","2011-02-10","12210","2011-02-10","0"
"ftd-albany-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","36","2011-02-12","31701-2532","2011-02-10","0"
"ftd-albuquerque-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","274","2011-02-12","87102","2011-02-10","0"
"callas-beauty-institute","$20 for $45 Worth of Beauty Services at Callas Beauty Institute in Rio Rancho","20","45","122","2011-02-11","87102","2011-02-10","0"
"fancy-fortune-cookies-abq","$15 for $35 Worth of Wise Desserts at Fancy Fortune Cookies","15","35","17","2011-02-12","87102","2011-02-10","0"
"callas-beauty-institute-albequerque","$49 for a Three-Hour Makeup Course and a Take-Home Bag of Beauty Products at Callas Beauty Institute ","49","120","5","2011-02-11","87102","2011-02-10","0"
"swiss-alps-bakery","$5 for $10 Worth of Baked Goods at Swiss Alps Bakery","5","10","397","2011-02-10","87102","2011-02-10","0"
"eternal-youth-med-spa-albuquerque","$99 for Three Laser Hair-Removal Treatments at Eternal Youth Medical Spa (Up to $1,099.99 Value)","99","1100","495","2011-02-10","87102","2011-02-10","0"
"ftd-allentown-bethlehem-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","201","2011-02-12","18102-2127","2011-02-10","0"
"mixbook-allentown-bethlehem-4","$15 for $50 Worth of Photo Books, Cards, and More from Mixbook","15","50","208","2011-02-10","18102-2127","2011-02-10","0"
"crystal-cabin-fever-lakeville","$3 for a Child Ticket ($6 Value) or $5 for an Adult Ticket ($10 Value) at Crystal Cabin Fever in Lakeville","3","6","364","2011-02-10","18102-2127","2011-02-10","0"
"ftd-amarillo-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","60","2011-02-12","79107-5116","2011-02-10","0"
"mixbook-amarillo-4","$15 for $50 Worth of Photo Books, Cards, and More from Mixbook","15","50","159","2011-02-10","79107-5116","2011-02-10","0"
"arenas-auto-service-amarillo","$25 for Synthetic Oil Change and Tire Rotation at Arenas Auto Service & Repair ($50 Value)","25","50","6","2011-02-12","79107-5116","2011-02-10","0"
"ftd-anchorage-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","366","2011-02-12","99501-2010","2011-02-10","0"
"alaska-adventure-unlimited","One-Night Stay in Private Chalet from Alaska Adventure Unlimited. Choose from Three Lodging Options.","94","219","80","2011-02-10","99501-2010","2011-02-10","0"
"ftd-appleton-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","74","2011-02-12","54911-5804","2011-02-10","0"
"ftd-asheville-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","187","2011-02-12","28801","2011-02-10","0"
"ftd-athens-1","$20 for $40 Worth of Flowers, Gifts, and More from FTD","20","40","139","2011-02-12","30605-1113","2011-02-10","0"
